Title,Price,Shipping,URL
Men's GYM Shorts Training Quick Dry Sport Workout Casual Jogging Pants Trousers,5.17,Free International Shipping,https://www.ebay.com/itm/393049275289?hash=item5b838ffb99:g:B98AAOSwmGNf0ECD&amdata=enc%3AAQAIAAAAwNC174EMs7jaJVORHFlMy25%2FNjNj9hEfOCi2QOKAgt8vVpCURPvaY%2FuyDob0jGA%2FBfH8FhzEAj0Xd2PbRsPEX%2Fs1qFP4IqoDcCvgQUTlxUPy1NxIl1WxlzcShD7An%2Bb7ion3M9qlrlGNBy5yrdsxVYTkOhGQITuzDfjZwAeWegc5aSg0ZOM6fVSYrslrIzMtUNkPGJLgF6sJjSmb8AUv79HsxTvTTzXIO8x9ghnz%2BdIWjnqSINqQWwcW2%2FVvChocmA%3D%3D%7Ctkp%3ABk9SR4qvivCOYg
Men's Sports Training Running Bodybuilding Workout Fitness Shorts Gym Pants Work,9.99 ,+$14.29 shipping,https://www.ebay.com/itm/275274900791?hash=item4017a9a537:g:wCYAAOSwM8tiqz89&amdata=enc%3AAQAIAAAA4JIQQvTkzRrB23sKAK395WMV0v26Rngle7cV9mXyCWpf5QhCJ4wkCOhJf4kurlBHYvTIXqo9XHUUdHKsfR0Yvup%2Fv6yKHmrEpXGRs1a8CWdwGMglfK00gm6x45Sd%2B9HUrltDub1O84j5zDSDuDi6WL0siNYReyo2cVLbk6hlif%2BqlfAotebXeUf0BhIXjFTKWtoozBjuOxvehZp%2B20IMpNDVmvX4qMEQ13HdU706reTtAwatqi0GN%2Bq%2Bs1OhxA9lMgVZTeWgouxTSlBHpVkhWLGxZ4isoq4GHizJoX50owWH%7Ctkp%3ABk9SR4qvivCOYg
Mens Shorts Football Dri Fit Park Gym Training Sports Running Short Apex Wear,10.99,+$14.18 shipping,https://www.ebay.com/itm/113845704555?hash=item1a81bb976b:g:wlQAAOSw7eRdequ0&amdata=enc%3AAQAIAAAAwJ9iiEHjjb3cYlLwEujDglTm%2FJanJJJ7nSfUV28Nk13NGikLFKKgM9HwKlrN98Z5zlfWiZ8G%2B3CdfxlDTyvKaUaUXpf%2B5EZFXNDZS1aZrUSJnYW7STdKzNHvhqvBzx0F9XTTGbZx%2BGWVToCqSlQDyAflBE3QKQtP3UTPM5utYCS6lj7gasFPJ5YjySf%2Fx6P8vZvrdTAZ5zOjHnwWYEA4%2BcK0irKWUleF6n6U0ke7nT%2BLU3OTsmJrtX30sGfI1NH5fw%3D%3D%7Ctkp%3ABk9SR4qvivCOYg
Mens Gym Fleece Jogger Shorts Casual Elasticated waist Running Sport Zip Pockets,7.40,+$8.49 shipping estimate,https://www.ebay.com/itm/175645918579?hash=item28e5500573:g:5OAAAOSwsGJkCSs5&amdata=enc%3AAQAIAAAAwOzR%2BCdAKEehTM9ZfeWuGqkoBMcj2jQ6lJROkJNS%2FXJ60ArjGEmRzWTK5WCa%2Bqm5sNFpG9YsLcQG4cpd5eIe7vrs7js8VY2ckjfpq1wxDRBSJWc6sEV1k2KE82i50KyyqPczteYxyREwv%2FTsl1W2i%2FkflRB6oUueH9X88Cu%2B84HwkjCaoQ775rFIr1dG8EOrEyo7p0TbTb540JEhfzng9gaoJ4IpYmYurq34E1DU1U1QiW0%2FPI04ELtxgG9fc%2BnUoA%3D%3D%7Ctkp%3ABk9SR4qvivCOYg
adidas Essentials Fleece 3-Stripes Shorts Men's,25.00,+$14.45 shipping,https://www.ebay.com/itm/154471391840?epid=14057097680&hash=item23f7366260:g:HDsAAOSwPoRkdn1~&amdata=enc%3AAQAIAAAA4DlrZboK7XK6%2FD8ofgr8%2FagEHChQCcQAY511djq3LKmL5Hmg%2F5cLMOpx48FChXRXm5xm5f2J%2F6wZBn6Ih1h7omnkNj2IiIlHI2upp7uS2KeYJJsZFjJ2%2BnYQpZpCoxUf3i2GPY%2FgL9NqStm7Sxza3yFC9%2FDuRF39CBL9sRRKdxflv5cYCquqwRFxBFZgMDTK1WYKsCL%2BzrcLLOFIlaonuiUqVxg9Xkv3WZpBWzip1QYQgpRpbQOltnKPQJPHks%2FjV0R0PdxsWNAq9OGjJVSn8GqQBZvtX66L6d6LP0R1vQC6%7Ctkp%3ABFBMiq-K8I5i
Eric Emanuel EE Summer blockbuster fitness shorts Muscular men sports shorts,10.55,+$8.99 shipping,https://www.ebay.com/itm/364225454451?hash=item54cd876173:g:QboAAOSwzHxkQKEa&amdata=enc%3AAQAIAAAA4NhyBgHuBCXk9i54gVN2T7VTkfBtryBoJext4%2BJBy06%2BGiErHa71uBGshbSXQdxCUAj3A25WyoDFKhYacDvXX%2BuyxFKkDwd9YjQ1B4FWDNOV3SInAAo%2FHjtpoov14U05LuDgR22kldUBLcO8CwxAK%2FXDh%2BrTftPmgu3j59XvOtDPsXSoMSbyk8%2FDsnfeh86srR9ZUEfvs0lSFIOMhwTNM3FZdrAOyqlSrdB8BjC%2FRj250UdkTOeElYUSM2iKBRin4DE3oa5qTuQ0hSgVB3x2D3afUt9UDOobj8qSaKY63Qsi%7Ctkp%3ABFBMiq-K8I5i
Men Cotton Sweatpants Summer Beach Joggers Pants Casual Trousers Sport Shorts,17.40,Free International Shipping,https://www.ebay.com/itm/325554220854?hash=item4bcc8b2f36:g:1hUAAOSwpONikX~I&amdata=enc%3AAQAIAAAA4A6UMfDoN3xB5GKAWdXt2IDtlrHWPDqAgEKTCHZU2kTHO%2Bn0Q7uyCCE9ivTjr1djl0iU%2F%2FjkT3xrGOX6Lw8%2BrPVtjYwfjeKG53mhU1xheQk4UODqTwjjNzzKYmD9y2KAVHw8rHrFeIGfNfOHaYHcBIzl08aa59uODhoVjc2%2BoUAyaY49xIc8kI9V8HFQ5CRyzt0HYIHZ8RSnwpaVShUQrIbXdr82xnUt%2BaxHTQQ7ZFHhWrdLo1jgqFf5tl9CeSj1nyE2t%2BaciMu0uIHNl16jDpg88RJI%2FhHQhtkAAtV0eUh6%7Ctkp%3ABFBMiq-K8I5i
LYLE AND SCOTT STYLIST REGULAR FIT SWIM SHORTS FOR MEN,8.63 ,+$8.66 shipping estimate,https://www.ebay.com/itm/166071151881?hash=item26aa9cad09:g:jP0AAOSwM4hkUlj6&amdata=enc%3AAQAIAAAA4EG7aaTbQHw%2Bnfx1AJ7q4KkZSQluMBxCGg4Fw5K0CTg7cXoqGboH727q5Ub1CoDhcfn5t6rvp9%2BulGQ3TeVDoRiZnNApNbDchHC97H4q6r5QwcVphw2X7mbvBa9OH%2BN01TaVsY0x4anUjDfIdkRhMZZxqAjHG0Mqe9dPbmyCyQMWav8gxrUOM%2BKGcktLn00haYrRMXsRNg0N%2BGzg3FtLvCzE1cBOyj3OKA5xNPdV0PJiw2HXmDgBSKxJ7h6y4wH2kuDisUsiOyOT3amSRW%2FXw8JoIrmGoPIJ%2BmGziUUJy9jP%7Ctkp%3ABk9SR4yvivCOYg
Men's Black Navy Burgundy Nike Gym Cycling short zip pockets Embroidery Logo,19.21,+$13.00 shipping estimate,https://www.ebay.com/itm/255489577649?hash=item3b7c5d92b1:g:4aEAAOSw7ZBh-4Tr&amdata=enc%3AAQAIAAAA4A4%2BfXz%2FHKhcpqkUfBx0t%2F3vYPlFX9dI1tCe4jU0yC6iC6ArGmbUStguMjJBPHn1YxUwB9JSpURu7%2FIcZaGUDldahOBfm4zfx0BBTDcNOVwoeliGLLy8d4XMQqgRPw0DCwB7s3OlWplQslA17QMcIeJeYVHwZpcCkvLCy6QLYHIBGd0EiXpjY%2FUmnGjec2HG8u3jf1hs78UJcaVSSKjfZzccELFV1irwwvup64jl9xKp%2BHtiXOOfPL4k9GdUQ5uk7ZhWoTm2aAkdWjZxwGisP28jJlL73I6min7IoMDYuSaN%7Ctkp%3ABk9SR4yvivCOYg
Men's Nike Shorts Gym Football Training Running Park Dri-Fit Sports Night Short,19.77,+$35.32 shipping,https://www.ebay.com/itm/285159222178?hash=item4264d06ba2:g:aPcAAOSwBYBj-Nmi&amdata=enc%3AAQAIAAAAwKUDLZbdGtXVdgh2uWUAesETUApWDdVBA5cU%2BrSwhU1ttV44BkDsrlE%2B%2B8HIjijjDYT%2FdEA34eUT7dhnz0jJcjZ%2BPhDxC02KvTUUsspsyeeqPCachPbxNqe2LQw%2B3xfykEtuUnZxHbXGqwx8ee%2BwxG5fN%2F05VeXHxnNr7DO2iN0egzyGGuw14k9sjT66IWGU9lVSFe63joWn7N7OhFEwyPOUPLT0pTQeaZ%2FCfBsC%2Bu1dAxu3jRetPqAOu6tYJIqUHg%3D%3D%7Ctkp%3ABk9SR4yvivCOYg
